"Tabel 16 Akumlasi Jumlah Transaksi Penerima Pinjaman (satuan akun)
Table 16 Accumulated Number of Borrower Credit Transaction (unit of account)",,,,,,,,,,,,,,
Lokasi / Locations,,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24
,,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan
    a. Jawa,,"  715,041,126 ","  722,965,857 ","  729,954,069 ","  737,348,516 ","  746,681,988 ","  753,022,094 ","  761,414,791 ","  771,221,358 ","  778,102,339 ","  787,809,720 ","  798,331,263 ","  805,026,337 ","  815,761,273 "
,1. Banten,"  71,960,749 ","  72,798,611 ","  73,541,608 ","  74,343,745 ","  75,366,345 ","  76,020,065 ","  76,951,066 ","  78,044,918 ","  78,744,357 ","  79,786,977 ","  81,066,224 ","  78,924,794 ","  80,025,976 "
,2. DKI Jakarta,"  236,811,241 ","  238,779,124 ","  240,170,935 ","  241,644,526 ","  243,598,357 ","  244,677,474 ","  246,326,418 ","  246,434,408 ","  247,383,928 ","  249,216,058 ","  251,313,777 ","  252,083,146 ","  254,137,846 "
,3. Jawa Barat,"  232,271,385 ","  235,267,427 ","  238,072,224 ","  240,954,921 ","  244,624,350 ","  247,215,312 ","  250,554,066 ","  255,506,409 ","  258,393,001 ","  262,276,120 ","  266,003,243 ","  267,281,675 ","  271,574,535 "
,4. Jawa Tengah,"  69,563,861 ","  70,397,891 ","  71,229,154 ","  72,153,712 ","  73,214,037 ","  74,083,897 ","  75,092,978 ","  76,777,135 ","  77,765,338 ","  78,973,077 ","  80,459,058 ","  85,567,966 ","  86,988,852 "
,5. DI Yogyakarta,"  13,014,178 ","  13,173,509 ","  13,324,537 ","  13,493,896 ","  13,686,930 ","  13,826,956 ","  13,990,082 ","  14,196,452 ","  14,368,399 ","  14,570,756 ","  14,815,047 ","  14,340,227 ","  14,551,316 "
,6. Jawa Timur,"  91,419,712 ","  92,549,295 ","  93,615,611 ","  94,757,716 ","  96,191,969 ","  97,198,390 ","  98,500,181 ","  100,262,036 ","  101,447,316 ","  102,986,732 ","  104,673,914 ","  106,828,529 ","  108,482,748 "
    b. Luar Jawa,,"  157,287,523 ","  159,578,384 ","  161,812,102 ","  164,209,549 ","  167,120,720 ","  169,473,191 ","  172,397,746 ","  176,944,679 ","  179,898,822 ","  183,266,180 ","  186,995,163 ","  193,869,542 ","  197,668,761 "
,1. Nangroe Aceh Darussalam,"  2,627,437 ","  2,666,141 ","  2,702,723 ","  2,741,165 ","  2,788,081 ","  2,821,077 ","  2,869,636 ","  3,075,387 ","  3,122,436 ","  3,157,125 ","  3,187,117 ","  3,144,137 ","  3,198,516 "
,2. Sumatera Utara,"  22,446,772 ","  22,756,955 ","  23,063,463 ","  23,397,705 ","  23,814,270 ","  24,147,035 ","  24,565,473 ","  25,176,603 ","  25,586,131 ","  26,062,265 ","  26,641,216 ","  27,956,410 ","  28,524,267 "
,3. Sumatera Barat,"  7,735,334 ","  7,834,031 ","  7,933,609 ","  8,033,105 ","  8,135,176 ","  8,249,984 ","  8,376,534 ","  8,593,548 ","  8,730,580 ","  8,886,895 ","  9,063,831 ","  9,781,937 ","  9,963,526 "
